Tweet:lihat magnus chase ... lihat price tag ... ummmmmm ... im fine ... yas ... ok ... 	 ReaderName:maya_มะยๅ 	 ReaderScreenName:mypxckyyy 	 ReaderId:261068778 	 userLocation:my cave 	 FollowersCount:464 	 FriendsCount:245 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-27 03:09:19 
Tweet:@camphalfblood I'm putting The Prisoner of Azkaban on hold to read Magnus Chase! Can't wait to start reading it!! https://t.co/s0Q7hftVpZ 	 ReaderName:cass 	 ReaderScreenName:trialsofapolIo 	 ReaderId:155351209 	 userLocation:❝    ❞ 	 FollowersCount:2710 	 FriendsCount:740 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-27 00:08:28 
Tweet:RT @VeryVictoriaish: I love chocolate the way Magnus Chase loves falafel. So a lot. #MagnusChase 	 ReaderName:Jason Grace 	 ReaderScreenName:_Logan_K_W 	 ReaderId:2918998268 	 userLocation:New Rome 	 FollowersCount:86 	 FriendsCount:209 	 CreatedTime:False 	 Retweeted:1 	 RetweetCount:2015-10-26 23:52:14 
Tweet:magnus chase is out eons ago and still battle of the labyrinth pa lang ako ugh wait, magnus. i'll see you soon. 	 ReaderName:karou 	 ReaderScreenName:sylishiamazing 	 ReaderId:873284156 	 userLocation:camp half-blood 	 FollowersCount:551 	 FriendsCount:258 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 23:47:56 
Tweet:yo what is the point of not having magnus chase yet if i wouldnt be able to read it anyway #$kool 	 ReaderName:school!patrice 	 ReaderScreenName:annabethjackscn 	 ReaderId:93552959 	 userLocation:gallifrey 	 FollowersCount:917 	 FriendsCount:357 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 23:47:42 
Tweet:Photoset: titancalledbob: Magnus Chase and the Gods of Asgard Official Trailer | edit https://t.co/Icf97LImWc 	 ReaderName:King of Norway 	 ReaderScreenName:JamesMellnick 	 ReaderId:2497101870 	 userLocation: 	 FollowersCount:75 	 FriendsCount:672 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 23:43:04 
Tweet:Magnus Chase and the Gods of Asgard is out but I'm broke. Hoping dad will buy me one. 	 ReaderName:PUHON 	 ReaderScreenName:SchweetzJolia 	 ReaderId:1888245462 	 userLocation:Cagayan De Oro City, PH 	 FollowersCount:979 	 FriendsCount:606 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 23:25:26 
Tweet:Best Sellers in Children's Books
#2: Magnus Chase and the Gods of Asgard, Boo...
https://t.co/s7rBQUa4x1 #Kindle https://t.co/mVTgjE3jdo 	 ReaderName:KdlAzCA.bot 	 ReaderScreenName:KdlAzCA 	 ReaderId:3004555598 	 userLocation:Tokyo 	 FollowersCount:1452 	 FriendsCount:1624 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 23:03:29 
Tweet:@camphalfblood Magnus Chase is amazing. I'm not done yet, but wow. Amazing. 	 ReaderName:Lainey 	 ReaderScreenName:Lainey_5SOS 	 ReaderId:2238662033 	 userLocation:Anywhere my mind takes me 	 FollowersCount:1013 	 FriendsCount:814 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 22:37:44 
Tweet:I need to download Rick Riordan's latest series, Magnus Chase. 	 ReaderName:Perseus 	 ReaderScreenName:noooooonel 	 ReaderId:2517007178 	 userLocation:Manila 	 FollowersCount:89 	 FriendsCount:140 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 22:22:58 
Tweet:Win a copy of MAGNUS CHASE AND THE GODS OF ASGARD by Rick Riordan at https://t.co/VUjl8nuZmH!  https://t.co/J0D8ni91gp 	 ReaderName:trudy 	 ReaderScreenName:hauntedbymendes 	 ReaderId:1955205583 	 userLocation:Virginia 	 FollowersCount:1185 	 FriendsCount:2013 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 22:06:43 
Tweet:RT @zachsnacks: if ur name is Rick riordan mail me a free copy of Magnus chase 	 ReaderName:rachel 	 ReaderScreenName:rachelsafiye 	 ReaderId:1606501129 	 userLocation:ig | rachel.safiye 	 FollowersCount:142 	 FriendsCount:318 	 CreatedTime:False 	 Retweeted:14 	 RetweetCount:2015-10-26 22:03:39 
Tweet:@camphalfblood Will there be a Magnus Chase/Kane Chronicles crossover? Or even a Magnus Chase/Percy Jackson crossover (other than Annabeth)? 	 ReaderName:Dillan Tanner 	 ReaderScreenName:9dpickle9 	 ReaderId:785513504 	 userLocation: 	 FollowersCount:27 	 FriendsCount:81 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 21:34:21 
Tweet:Review for Magnus Chase and the Gods of Asgard, Book 1: The Sword of Summer: i soooooooooooooooooo want to read th… https://t.co/ghKP1VnUNu 	 ReaderName:DOGObooks 	 ReaderScreenName:DOGObooks 	 ReaderId:594110165 	 userLocation:San Francisco, CA 	 FollowersCount:267 	 FriendsCount:13 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 21:29:07 
Tweet:Fans of The Lightning Thief will love Magnus Chase &amp; The Sword of Summer! My review at https://t.co/oEfYfRwb9Y @camphalfblood 	 ReaderName:Scare-dis 	 ReaderScreenName:MsArdychan 	 ReaderId:399907801 	 userLocation:California 	 FollowersCount:211 	 FriendsCount:445 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 21:20:25 
Tweet:@nookBN The Heroes of Olympus Book Five, 'The Blood of Olympus' by @camphalfblood! Can't wait to read the first Magnus Chase book after. 	 ReaderName:Keitorin 	 ReaderScreenName:chouninatte 	 ReaderId:93294718 	 userLocation:Thedas 	 FollowersCount:109 	 FriendsCount:58 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 21:03:22 
Tweet:I love chocolate the way Magnus Chase loves falafel. So a lot. #MagnusChase 	 ReaderName:Victerroria Stole 	 ReaderScreenName:VeryVictoriaish 	 ReaderId:508109788 	 userLocation:Atlanta, GA 	 FollowersCount:179 	 FriendsCount:283 	 CreatedTime:False 	 Retweeted:1 	 RetweetCount:2015-10-26 21:02:27 
Tweet:i'm reading magnus chase and HOLY FUCK ANNABETH BAAAAABE fuck I'd missed her 	 ReaderName:al 	 ReaderScreenName:bechloewins 	 ReaderId:3437210553 	 userLocation: 	 FollowersCount:88 	 FriendsCount:136 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 21:00:30 
Tweet:Since I'm not reading Magnus Chase... I guess I'm not a true fan of Norse Mythology... 	 ReaderName:Seth Dooley 	 ReaderScreenName:_Silasea_ 	 ReaderId:3974800813 	 userLocation: 	 FollowersCount:9 	 FriendsCount:8 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 20:58:18 
Tweet:also: magnus chase is good so far. the chapter titles are hilarious 	 ReaderName:spookiest annette 	 ReaderScreenName:tiniestannette 	 ReaderId:3093775499 	 userLocation:probably my room, hiding, 	 FollowersCount:358 	 FriendsCount:448 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 20:49:16 
Tweet:RT @_kuroocat: My Magnus Chase book came in and I'm 🔥🔥🔥🔥🔥🔥🔥🔥🔥 I can't wait to read it 	 ReaderName:nada ✨ [BIRTHDAY] 	 ReaderScreenName:nothinginhell 	 ReaderId:3885589283 	 userLocation:mecha & idol hell 	 FollowersCount:84 	 FriendsCount:234 	 CreatedTime:False 	 Retweeted:1 	 RetweetCount:2015-10-26 20:48:38 
Tweet:My Magnus Chase book came in and I'm 🔥🔥🔥🔥🔥🔥🔥🔥🔥 I can't wait to read it 	 ReaderName:CARTER'S✨spooky✨DICK 	 ReaderScreenName:_kuroocat 	 ReaderId:516056780 	 userLocation:Ken || they/them || GA 	 FollowersCount:586 	 FriendsCount:518 	 CreatedTime:False 	 Retweeted:1 	 RetweetCount:2015-10-26 20:47:58 
Tweet:if you liked Magnus Chase The Sword of Summer, you'll also like these Norse mythology related books https://t.co/IvdY3SHVrn 	 ReaderName:Lou Anders 	 ReaderScreenName:LouAnders 	 ReaderId:160559329 	 userLocation: 	 FollowersCount:1952 	 FriendsCount:846 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 20:37:08 
Tweet:If you like Magnus Chase, @ImaginationSoup recommends these other books: https://t.co/g7L2LoV0j5 	 ReaderName:Lou Anders 	 ReaderScreenName:LouAnders 	 ReaderId:160559329 	 userLocation: 	 FollowersCount:1952 	 FriendsCount:846 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 20:35:38 
Tweet:@camphalfblood Is there going to be Magnus Chase merchandise? 	 ReaderName:Chloe 	 ReaderScreenName:RomyAYoutubfan 	 ReaderId:3780979103 	 userLocation:In my bed watching youtube 	 FollowersCount:29 	 FriendsCount:65 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 20:33:18 
Tweet:Win a copy of MAGNUS CHASE AND THE GODS OF ASGARD by Rick Riordan at https://t.co/FX2AZ9tIiC!  https://t.co/2QO2uo1cJG 	 ReaderName:Mak 	 ReaderScreenName:theindigoshelf 	 ReaderId:610974978 	 userLocation: 	 FollowersCount:434 	 FriendsCount:1996 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 20:32:32 
Tweet:I DONT WANT TO READ ERNEST I WANT TO READ MAGNUS CHASE 	 ReaderName:Maggie Hines 	 ReaderScreenName:maggiemaz101 	 ReaderId:1852300586 	 userLocation:America 	 FollowersCount:141 	 FriendsCount:139 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 20:10:14 
Tweet:Win a copy of MAGNUS CHASE AND THE GODS OF ASGARD by Rick Riordan at https://t.co/eHJ0H46Aki!  https://t.co/7S1OR28b9b 	 ReaderName:danielle hammelef 	 ReaderScreenName:dhammelef 	 ReaderId:2970733244 	 userLocation: 	 FollowersCount:96 	 FriendsCount:1008 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 19:57:51 
Tweet:RT @WritingBarn: Check out how Rick Riordan used Kurt Cobain for inspiration! #thewritingbarn
&gt;&gt; https://t.co/reYTSpxIre 	 ReaderName:Stephanie Olivieri 	 ReaderScreenName:StephOlivieri 	 ReaderId:22079567 	 userLocation:Los Angeles, CA 	 FollowersCount:984 	 FriendsCount:953 	 CreatedTime:False 	 Retweeted:1 	 RetweetCount:2015-10-26 19:41:06 
Tweet:#currentlyreading Magnus Chase and the Gods of Asgard: The Sword of Summer by Rick Riordan #readyalit… https://t.co/W67k1bOzLa 	 ReaderName:Rockwall HS Library 	 ReaderScreenName:Library_RHS 	 ReaderId:2294851633 	 userLocation:Rockwall, TX 	 FollowersCount:73 	 FriendsCount:260 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 19:24:00 
Tweet:Can I have your Magnus Chase book? 	 ReaderName:Marie 	 ReaderScreenName:alyssuramos 	 ReaderId:433942683 	 userLocation:Neverland 	 FollowersCount:409 	 FriendsCount:193 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 19:12:45 
Tweet:my first purchases when I get paid are going to be hamlet, magnus chase n an iPhone 6, no regrats 	 ReaderName:chan chan man 	 ReaderScreenName:booberdick 	 ReaderId:631922000 	 userLocation:scotland :((( 	 FollowersCount:1737 	 FriendsCount:1992 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 18:15:44 
Tweet:@S8tansD4ughter @alwaysdragxns I got it bc my birthday was last week... Haven't read it yet (reading Magnus Chase first) but !! 	 ReaderName:Ebony 	 ReaderScreenName:SailorEbony 	 ReaderId:2281321058 	 userLocation:Bunkyo, Tokyo 	 FollowersCount:719 	 FriendsCount:233 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 17:48:48 
Tweet:The hardcover edition of magnus chase is in stock!!! Eeeeeeppppppp 	 ReaderName:Arissa 	 ReaderScreenName:arissamunira 	 ReaderId:191447510 	 userLocation:buried in piles of books 	 FollowersCount:297 	 FriendsCount:125 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 17:45:44 
Tweet:RT @_Logan_K_W: I have to read "Through the Gates of Splendor" this week 😩😩😩 I'd much rather read Magnus Chase 😩😩😩😢 	 ReaderName:Victerroria Stole 	 ReaderScreenName:VeryVictoriaish 	 ReaderId:508109788 	 userLocation:Atlanta, GA 	 FollowersCount:179 	 FriendsCount:283 	 CreatedTime:False 	 Retweeted:1 	 RetweetCount:2015-10-26 17:13:50 
Tweet:I have to read "Through the Gates of Splendor" this week 😩😩😩 I'd much rather read Magnus Chase 😩😩😩😢 	 ReaderName:Jason Grace 	 ReaderScreenName:_Logan_K_W 	 ReaderId:2918998268 	 userLocation:New Rome 	 FollowersCount:86 	 FriendsCount:209 	 CreatedTime:False 	 Retweeted:1 	 RetweetCount:2015-10-26 17:11:22 
Tweet:time to read Magnus Chase 	 ReaderName:wat 	 ReaderScreenName:alpacatastrophe 	 ReaderId:3052715964 	 userLocation: 	 FollowersCount:91 	 FriendsCount:293 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 16:53:42 
Tweet:Magnus Chase is still 500+ pesos. When will you lower your price down??!??!?! IM BEGGING U MAGNUS CHASE! 	 ReaderName:KOL KEDS 	 ReaderScreenName:_bluepancakes_ 	 ReaderId:1344218509 	 userLocation:Manila, Philippines. 	 FollowersCount:124 	 FriendsCount:445 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 16:37:34 
Tweet:If You Like Magnus Chase, You’ll Like These Other Norse Mythology Books https://t.co/cgy6WeTMhk 	 ReaderName:20Moms 	 ReaderScreenName:20Moms 	 ReaderId:787443331 	 userLocation: 	 FollowersCount:112 	 FriendsCount:73 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 16:31:06 
Tweet:I entered to win signed copies of #MagnusChase books from @camphalfblood and @nymediaworks! https://t.co/2DPC5aqJVW 	 ReaderName:Jerry Wilson 	 ReaderScreenName:kneesbad23 	 ReaderId:1120809498 	 userLocation: 	 FollowersCount:43 	 FriendsCount:577 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 16:28:24 
Tweet:RT @MightaZerie: #Giveaway RT+ Follow to win Greek Heroes &amp; Magnus Chase PB with a CHB Tee! Ends 10/31. May the gods be in your favor. http… 	 ReaderName:Maura 	 ReaderScreenName:armywife2310 	 ReaderId:1368281100 	 userLocation:Lost in a book 	 FollowersCount:751 	 FriendsCount:712 	 CreatedTime:False 	 Retweeted:377 	 RetweetCount:2015-10-26 16:23:10 
Tweet:RT @MightaZerie: #Giveaway RT+ Follow to win Greek Heroes &amp; Magnus Chase PB with a CHB Tee! Ends 10/31. May the gods be in your favor. http… 	 ReaderName:Marissa Osman 	 ReaderScreenName:MarissaOsman 	 ReaderId:315468003 	 userLocation:The Shire 	 FollowersCount:332 	 FriendsCount:609 	 CreatedTime:False 	 Retweeted:377 	 RetweetCount:2015-10-26 16:21:20 
Tweet:RT @MightaZerie: #Giveaway RT+ Follow to win Greek Heroes &amp; Magnus Chase PB with a CHB Tee! Ends 10/31. May the gods be in your favor. http… 	 ReaderName:Halley Hopson 	 ReaderScreenName:halley_hopson 	 ReaderId:336377499 	 userLocation:Barberton 	 FollowersCount:350 	 FriendsCount:582 	 CreatedTime:False 	 Retweeted:377 	 RetweetCount:2015-10-26 16:17:46 
Tweet:RT @MightaZerie: #Giveaway RT+ Follow to win Greek Heroes &amp; Magnus Chase PB with a CHB Tee! Ends 10/31. May the gods be in your favor. http… 	 ReaderName:Sal Hall 	 ReaderScreenName:halleygal 	 ReaderId:127900114 	 userLocation:Surrey 	 FollowersCount:1894 	 FriendsCount:2165 	 CreatedTime:False 	 Retweeted:377 	 RetweetCount:2015-10-26 16:16:01 
Tweet:#Fremdsprachige Bücher #4: Magnus Chase and the Sword of Summer: Magnus Chase and the Gods… https://t.co/yueMcVBzb5 https://t.co/ppPB3MHgEv 	 ReaderName:Schock-Preise 	 ReaderScreenName:SchockPreise 	 ReaderId:3187656964 	 userLocation:Deutschland 	 FollowersCount:88 	 FriendsCount:2 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 16:14:52 
Tweet:Want to win One (1) of Three (3) Signed Copies of 'Magnus Chase' Book One? I just entered to win and you can too. https://t.co/wMmlNbfwOH 	 ReaderName:danielle hammelef 	 ReaderScreenName:dhammelef 	 ReaderId:2970733244 	 userLocation: 	 FollowersCount:96 	 FriendsCount:1008 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 16:03:31 
Tweet:I entered to win signed copies of #MagnusChase books from @camphalfblood and @nymediaworks! https://t.co/wMmlNbfwOH 	 ReaderName:danielle hammelef 	 ReaderScreenName:dhammelef 	 ReaderId:2970733244 	 userLocation: 	 FollowersCount:96 	 FriendsCount:1008 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 16:03:17 
Tweet:"Jam Patel's The Chase explores #fashion through the lens of espionage at #ASFF2015 https://t.co/48y0HRC1pR https://t.co/AVL8XaYhay" 	 ReaderName:Magnus Sebastian 	 ReaderScreenName:Magnus_Sculptor 	 ReaderId:1418647478 	 userLocation:Delray Beach, FL 	 FollowersCount:27987 	 FriendsCount:26510 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 15:57:23 
Tweet:Really @camphalfblood? Loved this chapter name in Magnus Chase. https://t.co/GrEDLR262C 	 ReaderName:Kah Chaves 	 ReaderScreenName:misty__ynyn 	 ReaderId:20402984 	 userLocation:Brazil 	 FollowersCount:591 	 FriendsCount:565 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 15:54:09 
Tweet:RT @NYMediaWorks: #Giveaway: Enter 2 win a signed copy of @camphalfblood's #MagnusChase! https://t.co/lxxlniqQPc #kidlit #bookblogger https… 	 ReaderName:Kristin Ammerman 	 ReaderScreenName:KristinImagines 	 ReaderId:1906523473 	 userLocation: 	 FollowersCount:1689 	 FriendsCount:1303 	 CreatedTime:False 	 Retweeted:6 	 RetweetCount:2015-10-26 15:52:36 
Tweet:RT @MightaZerie: #Giveaway RT+ Follow to win Greek Heroes &amp; Magnus Chase PB with a CHB Tee! Ends 10/31. May the gods be in your favor. http… 	 ReaderName:Avid Bleeder 	 ReaderScreenName:AvidReaderBlog 	 ReaderId:2592342907 	 userLocation:Prob. buried in a book #again 	 FollowersCount:1217 	 FriendsCount:1556 	 CreatedTime:False 	 Retweeted:377 	 RetweetCount:2015-10-26 15:51:48 
Tweet:RT @MightaZerie: #Giveaway RT+ Follow to win Greek Heroes &amp; Magnus Chase PB with a CHB Tee! Ends 10/31. May the gods be in your favor. http… 	 ReaderName:nat 	 ReaderScreenName:cruisingpages 	 ReaderId:280250635 	 userLocation:PH 	 FollowersCount:1306 	 FriendsCount:90 	 CreatedTime:False 	 Retweeted:377 	 RetweetCount:2015-10-26 15:34:41 
Tweet:Excuse me, but I have a date with Magnus Chase in a few minutes. I shall get ready. &lt;3 	 ReaderName:Pauline Ramo 	 ReaderScreenName:pmramo_ 	 ReaderId:630279189 	 userLocation:In the wardrobe 	 FollowersCount:646 	 FriendsCount:975 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 15:29:28 
Tweet:RT @cursedbythegods: *reads about magnus chase mentioning annabeth once in about one dialogue* MY HEART AND MY SOUL AND MY ONE TRUE QUEEN 	 ReaderName:somebody 	 ReaderScreenName:XDdynis 	 ReaderId:3026354357 	 userLocation: 	 FollowersCount:34 	 FriendsCount:153 	 CreatedTime:False 	 Retweeted:4 	 RetweetCount:2015-10-26 15:24:36 
Tweet:Need to buy Magnus Chase 	 ReaderName:Banjo 	 ReaderScreenName:banjopedralvez 	 ReaderId:313185393 	 userLocation:Taguig 	 FollowersCount:136 	 FriendsCount:83 	 CreatedTime:False 	 Retweeted:0 	 RetweetCount:2015-10-26 15:23:51 
Tweet:RT @MightaZerie: #Giveaway RT+ Follow to win Greek Heroes &amp; Magnus Chase PB with a CHB Tee! Ends 10/31. May the gods be in your favor. http… 	 ReaderName:vold~EM~mort 	 ReaderScreenName:piplupsshadow 	 ReaderId:3368068300 	 userLocation:Hogwarts 	 FollowersCount:93 	 FriendsCount:264 	 CreatedTime:False 	 Retweeted:377 	 RetweetCount:2015-10-26 15:20:22 
